,rmse_V,R0,R1,R2,C1,C2,duration_pre_post,duration_post_fast,duration_fast_end,I_step,soc_pct
rmse_V,1.0,0.4992209011023799,-0.9504032256469749,-0.7122068564140771,0.6718754306371091,0.7137086018294534,-0.2940557905900906,0.8099091613568472,-0.7934606362670111,0.7634610959566331,-0.5898111944245086
R0,0.4992209011023799,1.0,-0.6451603673565786,0.039104802848445655,0.6354311237167384,0.005409184595776057,-0.39979976022308517,0.47454105772965166,-0.47766893519490866,0.1010061671801561,-0.03254486066664196
R1,-0.9504032256469749,-0.6451603673565786,1.0,0.5918130286423177,-0.7646915791745681,-0.590067828727651,0.30468543893501093,-0.8342160176780987,0.816000889309951,-0.7195271315222672,0.48428990308105924
R2,-0.7122068564140771,0.039104802848445655,0.5918130286423177,1.0,-0.475256893937964,-0.9519603034684346,0.05293456539959935,-0.4051123022053982,0.3913627247371363,-0.8074045394374912,0.7957740100619259
C1,0.6718754306371091,0.6354311237167384,-0.7646915791745681,-0.475256893937964,1.0,0.4636792044462055,-0.37771343841729815,0.4008983484387317,-0.41034970708773005,0.4599741548374476,-0.38768391519365847
C2,0.7137086018294534,0.005409184595776057,-0.590067828727651,-0.9519603034684346,0.4636792044462055,1.0,-0.06001305201205379,0.469334562034406,-0.46456808644932585,0.7422093124630478,-0.8857587791220302
duration_pre_post,-0.2940557905900906,-0.39979976022308517,0.30468543893501093,0.05293456539959935,-0.37771343841729815,-0.06001305201205379,1.0,-0.14043743950423127,0.1357314916414155,-0.07951739697982713,0.03726251414896137
duration_post_fast,0.8099091613568472,0.47454105772965166,-0.8342160176780987,-0.4051123022053982,0.4008983484387317,0.469334562034406,-0.14043743950423127,1.0,-0.9688505049597419,0.5874752809725359,-0.41904819304421353
duration_fast_end,-0.7934606362670111,-0.47766893519490866,0.816000889309951,0.3913627247371363,-0.41034970708773005,-0.46456808644932585,0.1357314916414155,-0.9688505049597419,1.0,-0.5618989286726197,0.4054491930083349
I_step,0.7634610959566331,0.1010061671801561,-0.7195271315222672,-0.8074045394374912,0.4599741548374476,0.7422093124630478,-0.07951739697982713,0.5874752809725359,-0.5618989286726197,1.0,-0.5936935392388364
soc_pct,-0.5898111944245086,-0.03254486066664196,0.48428990308105924,0.7957740100619259,-0.38768391519365847,-0.8857587791220302,0.03726251414896137,-0.41904819304421353,0.4054491930083349,-0.5936935392388364,1.0
